Order Date,Sales,Discount,Category,Sub Category,City,Region,year,month,quarter,weekofyear,dayofweek,dayofmonth,is_weekend
2022-01-02,1338,0.27,Beverages,Soft Drinks,Trichy,Central,2022,1,1,52,6,2,1
2022-01-03,527,0.23,"Eggs, Meat & Fish",Chicken,Dindigul,Central,2022,1,1,1,0,3,0
2022-01-03,851,0.18,Fruits & Veggies,Fresh Vegetables,Karur,Central,2022,1,1,1,0,3,0
2022-01-03,1023,0.35,Bakery,Cakes,Kanyakumari,Central,2022,1,1,1,0,3,0
2022-01-03,1228,0.13,Beverages,Soft Drinks,Theni,Central,2022,1,1,1,0,3,0
2022-01-03,1620,0.15,Fruits & Veggies,Fresh Vegetables,Ramanadhapuram,Central,2022,1,1,1,0,3,0
2022-01-03,1774,0.15,Oil & Masala,Edible Oil & Ghee,Salem,West,2022,1,1,1,0,3,0
2022-01-03,1818,0.18,Beverages,Health Drinks,Bodi,Central,2022,1,1,1,0,3,0
2022-01-03,1822,0.14,Snacks,Chocolates,Cumbum,Central,2022,1,1,1,0,3,0
2022-01-03,2238,0.16,Beverages,Soft Drinks,Pudukottai,East,2022,1,1,1,0,3,0
2022-01-03,2262,0.2,Oil & Masala,Spices,Nagercoil,Central,2022,1,1,1,0,3,0
2022-01-04,827,0.15,"Eggs, Meat & Fish",Chicken,Karur,West,2022,1,1,1,1,4,0
2022-01-04,1073,0.3,Beverages,Health Drinks,Bodi,East,2022,1,1,1,1,4,0
2022-01-04,2308,0.27,Oil & Masala,Masalas,Ramanadhapuram,West,2022,1,1,1,1,4,0
2022-01-04,2372,0.11,Oil & Masala,Masalas,Perambalur,East,2022,1,1,1,1,4,0
2022-01-06,538,0.19,Beverages,Health Drinks,Cumbum,Central,2022,1,1,1,3,6,0
2022-01-06,815,0.29,Beverages,Health Drinks,Tirunelveli,South,2022,1,1,1,3,6,0
2022-01-06,817,0.15,Bakery,Biscuits,Coimbatore,Central,2022,1,1,1,3,6,0
2022-01-06,894,0.28,Bakery,Breads & Buns,Coimbatore,Central,2022,1,1,1,3,6,0
2022-01-06,962,0.21,Fruits & Veggies,Organic Fruits,Perambalur,Central,2022,1,1,1,3,6,0
2022-01-06,1556,0.17,Snacks,Cookies,Ooty,Central,2022,1,1,1,3,6,0
2022-01-06,1666,0.34,Bakery,Breads & Buns,Theni,Central,2022,1,1,1,3,6,0
2022-01-06,1677,0.18,Oil & Masala,Spices,Pudukottai,East,2022,1,1,1,3,6,0
2022-01-06,2318,0.29,"Eggs, Meat & Fish",Eggs,Nagercoil,South,2022,1,1,1,3,6,0
2022-01-06,2396,0.35,Fruits & Veggies,Fresh Fruits,Ooty,East,2022,1,1,1,3,6,0
2022-01-06,2462,0.31,"Eggs, Meat & Fish",Fish,Kanyakumari,Central,2022,1,1,1,3,6,0
2022-01-07,1596,0.34,Food Grains,Dals & Pulses,Bodi,West,2022,1,1,1,4,7,0
2022-01-07,1685,0.32,Food Grains,Organic Staples,Nagercoil,South,2022,1,1,1,4,7,0
2022-01-07,2150,0.17,Snacks,Noodles,Pudukottai,South,2022,1,1,1,4,7,0
2022-01-08,763,0.33,Oil & Masala,Masalas,Kanyakumari,South,2022,1,1,1,5,8,1
2022-01-08,772,0.27,"Eggs, Meat & Fish",Chicken,Dindigul,West,2022,1,1,1,5,8,1
2022-01-08,1638,0.11,Snacks,Noodles,Bodi,South,2022,1,1,1,5,8,1
2022-01-08,2003,0.3,Oil & Masala,Masalas,Perambalur,South,2022,1,1,1,5,8,1
2022-01-08,2337,0.21,"Eggs, Meat & Fish",Mutton,Vellore,East,2022,1,1,1,5,8,1
2022-01-08,2479,0.26,Bakery,Breads & Buns,Virudhunagar,South,2022,1,1,1,5,8,1
2022-01-09,663,0.3,"Eggs, Meat & Fish",Mutton,Krishnagiri,Central,2022,1,1,1,6,9,1
2022-01-09,770,0.13,Snacks,Chocolates,Namakkal,East,2022,1,1,1,6,9,1
2022-01-09,1306,0.1,Food Grains,Atta & Flour,Theni,West,2022,1,1,1,6,9,1
2022-01-09,1716,0.3,Snacks,Chocolates,Dindigul,Central,2022,1,1,1,6,9,1
2022-01-09,2041,0.12,Beverages,Soft Drinks,Namakkal,East,2022,1,1,1,6,9,1
2022-01-10,1022,0.18,Oil & Masala,Masalas,Ooty,West,2022,1,1,2,0,10,0
2022-01-11,727,0.28,Snacks,Noodles,Chennai,South,2022,1,1,2,1,11,0
2022-01-11,798,0.17,Oil & Masala,Masalas,Kanyakumari,East,2022,1,1,2,1,11,0
2022-01-11,801,0.32,Food Grains,Atta & Flour,Viluppuram,South,2022,1,1,2,1,11,0
2022-01-11,870,0.25,"Eggs, Meat & Fish",Eggs,Tirunelveli,East,2022,1,1,2,1,11,0
2022-01-11,1018,0.19,Oil & Masala,Edible Oil & Ghee,Namakkal,South,2022,1,1,2,1,11,0
2022-01-11,1121,0.33,Snacks,Chocolates,Chennai,East,2022,1,1,2,1,11,0
2022-01-11,1176,0.34,Food Grains,Atta & Flour,Vellore,West,2022,1,1,2,1,11,0
2022-01-11,1202,0.2,"Eggs, Meat & Fish",Fish,Trichy,West,2022,1,1,2,1,11,0
2022-01-11,1442,0.27,Snacks,Chocolates,Madurai,South,2022,1,1,2,1,11,0
2022-01-11,1584,0.31,Oil & Masala,Edible Oil & Ghee,Chennai,East,2022,1,1,2,1,11,0
2022-01-11,1709,0.35,Food Grains,Organic Staples,Cumbum,West,2022,1,1,2,1,11,0
2022-01-11,1717,0.1,Snacks,Cookies,Perambalur,South,2022,1,1,2,1,11,0
2022-01-11,1805,0.34,Snacks,Cookies,Vellore,East,2022,1,1,2,1,11,0
2022-01-11,1843,0.12,Snacks,Noodles,Coimbatore,West,2022,1,1,2,1,11,0
2022-01-11,2013,0.17,"Eggs, Meat & Fish",Mutton,Viluppuram,South,2022,1,1,2,1,11,0
2022-01-11,2014,0.28,"Eggs, Meat & Fish",Mutton,Chennai,East,2022,1,1,2,1,11,0
2022-01-11,2100,0.34,Beverages,Soft Drinks,Theni,West,2022,1,1,2,1,11,0
2022-01-11,2234,0.28,Bakery,Biscuits,Vellore,East,2022,1,1,2,1,11,0
2022-01-11,2422,0.28,Bakery,Breads & Buns,Tirunelveli,Central,2022,1,1,2,1,11,0
2022-01-11,2479,0.22,"Eggs, Meat & Fish",Mutton,Trichy,West,2022,1,1,2,1,11,0
2022-01-12,505,0.21,Snacks,Cookies,Virudhunagar,East,2022,1,1,2,2,12,0
2022-01-12,672,0.31,Snacks,Cookies,Virudhunagar,East,2022,1,1,2,2,12,0
2022-01-12,814,0.18,"Eggs, Meat & Fish",Chicken,Theni,Central,2022,1,1,2,2,12,0
2022-01-12,1098,0.17,Oil & Masala,Masalas,Coimbatore,East,2022,1,1,2,2,12,0
2022-01-12,1230,0.29,Bakery,Breads & Buns,Salem,East,2022,1,1,2,2,12,0
2022-01-12,1541,0.23,Fruits & Veggies,Fresh Vegetables,Namakkal,Central,2022,1,1,2,2,12,0
2022-01-12,1655,0.2,Fruits & Veggies,Fresh Fruits,Dindigul,East,2022,1,1,2,2,12,0
2022-01-12,1900,0.14,Food Grains,Atta & Flour,Tirunelveli,West,2022,1,1,2,2,12,0
2022-01-12,1934,0.16,Food Grains,Dals & Pulses,Chennai,Central,2022,1,1,2,2,12,0
2022-01-12,2172,0.29,Food Grains,Dals & Pulses,Tenkasi,East,2022,1,1,2,2,12,0
2022-01-12,2222,0.33,Oil & Masala,Spices,Virudhunagar,East,2022,1,1,2,2,12,0
2022-01-12,2306,0.25,Food Grains,Atta & Flour,Virudhunagar,South,2022,1,1,2,2,12,0
2022-01-13,610,0.32,Food Grains,Dals & Pulses,Cumbum,West,2022,1,1,2,3,13,0
2022-01-13,1073,0.33,Bakery,Cakes,Theni,East,2022,1,1,2,3,13,0
2022-01-13,1367,0.13,Food Grains,Atta & Flour,Namakkal,South,2022,1,1,2,3,13,0
2022-01-13,1401,0.31,Beverages,Health Drinks,Nagercoil,South,2022,1,1,2,3,13,0
2022-01-13,1497,0.12,Food Grains,Rice,Kanyakumari,South,2022,1,1,2,3,13,0
2022-01-13,1520,0.22,Beverages,Health Drinks,Krishnagiri,West,2022,1,1,2,3,13,0
2022-01-13,1594,0.29,Oil & Masala,Spices,Theni,West,2022,1,1,2,3,13,0
2022-01-13,1767,0.33,Oil & Masala,Masalas,Ooty,East,2022,1,1,2,3,13,0
2022-01-13,1903,0.11,Snacks,Noodles,Nagercoil,South,2022,1,1,2,3,13,0
2022-01-13,1949,0.18,"Eggs, Meat & Fish",Chicken,Viluppuram,South,2022,1,1,2,3,13,0
2022-01-13,2239,0.1,Beverages,Health Drinks,Vellore,South,2022,1,1,2,3,13,0
2022-01-14,1715,0.24,Food Grains,Rice,Theni,East,2022,1,1,2,4,14,0
2022-01-15,1883,0.1,Bakery,Biscuits,Ooty,South,2022,1,1,2,5,15,1
2022-01-16,990,0.11,Beverages,Health Drinks,Vellore,East,2022,1,1,2,6,16,1
2022-01-16,1169,0.22,"Eggs, Meat & Fish",Mutton,Perambalur,East,2022,1,1,2,6,16,1
2022-01-16,1398,0.12,Food Grains,Rice,Ooty,East,2022,1,1,2,6,16,1
2022-01-16,2152,0.1,Oil & Masala,Spices,Madurai,East,2022,1,1,2,6,16,1
2022-01-18,1353,0.28,Food Grains,Organic Staples,Chennai,West,2022,1,1,3,1,18,0
2022-01-19,513,0.22,Fruits & Veggies,Organic Vegetables,Pudukottai,West,2022,1,1,3,2,19,0
2022-01-19,743,0.13,Beverages,Health Drinks,Ooty,West,2022,1,1,3,2,19,0
2022-01-19,1064,0.12,Snacks,Chocolates,Bodi,West,2022,1,1,3,2,19,0
2022-01-19,2205,0.26,Bakery,Breads & Buns,Viluppuram,West,2022,1,1,3,2,19,0
2022-01-20,603,0.28,Beverages,Soft Drinks,Theni,South,2022,1,1,3,3,20,0
2022-01-20,767,0.24,Bakery,Cakes,Kanyakumari,South,2022,1,1,3,3,20,0
2022-01-20,1100,0.3,"Eggs, Meat & Fish",Mutton,Tirunelveli,West,2022,1,1,3,3,20,0
2022-01-20,1148,0.21,Oil & Masala,Edible Oil & Ghee,Vellore,Central,2022,1,1,3,3,20,0
2022-01-20,1272,0.16,Fruits & Veggies,Organic Fruits,Nagercoil,Central,2022,1,1,3,3,20,0
2022-01-20,1393,0.3,Beverages,Soft Drinks,Namakkal,South,2022,1,1,3,3,20,0
2022-01-20,1629,0.17,Fruits & Veggies,Organic Vegetables,Tenkasi,Central,2022,1,1,3,3,20,0
2022-01-20,1768,0.13,Beverages,Soft Drinks,Ooty,South,2022,1,1,3,3,20,0
2022-01-20,1785,0.29,Beverages,Soft Drinks,Ooty,Central,2022,1,1,3,3,20,0
2022-01-20,1813,0.19,Oil & Masala,Spices,Dharmapuri,South,2022,1,1,3,3,20,0
2022-01-20,1840,0.25,Bakery,Breads & Buns,Bodi,Central,2022,1,1,3,3,20,0
2022-01-20,1973,0.32,Bakery,Biscuits,Cumbum,South,2022,1,1,3,3,20,0
2022-01-20,2054,0.33,Oil & Masala,Spices,Vellore,Central,2022,1,1,3,3,20,0
2022-01-20,2126,0.28,"Eggs, Meat & Fish",Mutton,Tirunelveli,Central,2022,1,1,3,3,20,0
2022-01-20,2294,0.24,Fruits & Veggies,Fresh Vegetables,Dharmapuri,Central,2022,1,1,3,3,20,0
2022-01-20,2325,0.18,"Eggs, Meat & Fish",Eggs,Krishnagiri,West,2022,1,1,3,3,20,0
2022-01-20,2350,0.15,Bakery,Cakes,Karur,South,2022,1,1,3,3,20,0
2022-01-21,2312,0.26,Food Grains,Dals & Pulses,Namakkal,South,2022,1,1,3,4,21,0
2022-01-23,1604,0.14,Bakery,Biscuits,Pudukottai,West,2022,1,1,3,6,23,1
2022-01-23,2314,0.27,"Eggs, Meat & Fish",Fish,Chennai,Central,2022,1,1,3,6,23,1
2022-01-26,666,0.29,Beverages,Soft Drinks,Madurai,Central,2022,1,1,4,2,26,0
2022-01-26,1050,0.11,Fruits & Veggies,Fresh Fruits,Kanyakumari,South,2022,1,1,4,2,26,0
2022-01-26,1350,0.34,Oil & Masala,Masalas,Krishnagiri,South,2022,1,1,4,2,26,0
