rad_id_2025,Order Date,Sales_faktisk,Discount,Category,Sub Category,City,Region,year,month,quarter,weekofyear,dayofweek,dayofmonth,is_weekend,prognose_lineaer_regresjon,prognose_random_forest_baseline,prognose_random_forest_tuned
1,2025-01-01,1353,0.14,Oil & Masala,Masalas,Salem,East,2025,1,1,1,2,1,0,1592.338455,1487.39,1542.663849
2,2025-01-01,1370,0.33,Snacks,Cookies,Dharmapuri,Central,2025,1,1,1,2,1,0,1498.219734,1582.615,1452.729826
3,2025-01-01,1512,0.2,Oil & Masala,Edible Oil & Ghee,Chennai,Central,2025,1,1,1,2,1,0,1518.725355,1508.605,1493.683058
4,2025-01-01,1583,0.28,Beverages,Soft Drinks,Chennai,Central,2025,1,1,1,2,1,0,1495.211462,1344.625,1452.245891
5,2025-01-01,2045,0.29,Snacks,Cookies,Bodi,Central,2025,1,1,1,2,1,0,1456.4771,1254.21,1416.117827
6,2025-01-01,2137,0.18,Bakery,Breads & Buns,Namakkal,Central,2025,1,1,1,2,1,0,1476.396831,1342.765,1485.776212
7,2025-01-01,2193,0.27,Fruits & Veggies,Fresh Vegetables,Madurai,Central,2025,1,1,1,2,1,0,1483.497939,1519.61,1453.30733
8,2025-01-01,2245,0.18,"Eggs, Meat & Fish",Chicken,Cumbum,Central,2025,1,1,1,2,1,0,1556.053453,1338.665,1504.432553
9,2025-01-01,2332,0.31,Food Grains,Atta & Flour,Salem,Central,2025,1,1,1,2,1,0,1548.098682,1495.37,1505.30712
10,2025-01-01,2341,0.25,Beverages,Soft Drinks,Namakkal,West,2025,1,1,1,2,1,0,1484.168728,1465.105,1460.089727
11,2025-01-04,562,0.24,"Eggs, Meat & Fish",Chicken,Bodi,West,2025,1,1,1,5,4,1,1552.403944,1301.045,1435.806569
12,2025-01-04,603,0.31,Snacks,Chocolates,Coimbatore,West,2025,1,1,1,5,4,1,1393.874661,1367.25,1405.795229
13,2025-01-04,952,0.28,Oil & Masala,Edible Oil & Ghee,Viluppuram,South,2025,1,1,1,5,4,1,1547.132912,1516.895,1492.825788
14,2025-01-04,1033,0.1,Snacks,Noodles,Viluppuram,South,2025,1,1,1,5,4,1,1538.766136,1456.085,1530.837968
15,2025-01-04,1061,0.25,Fruits & Veggies,Fresh Vegetables,Tirunelveli,West,2025,1,1,1,5,4,1,1471.927736,1260.075,1416.457477
16,2025-01-04,1100,0.21,Food Grains,Dals & Pulses,Kanyakumari,South,2025,1,1,1,5,4,1,1579.749977,1615.505,1537.517477
17,2025-01-04,1436,0.11,"Eggs, Meat & Fish",Chicken,Namakkal,Central,2025,1,1,1,5,4,1,1546.779158,1443.53,1513.679829
18,2025-01-04,1455,0.13,"Eggs, Meat & Fish",Mutton,Trichy,Central,2025,1,1,1,5,4,1,1617.377197,1625.885,1534.712564
19,2025-01-04,1750,0.34,Food Grains,Dals & Pulses,Nagercoil,West,2025,1,1,1,5,4,1,1455.35555,1486.48,1488.931093
20,2025-01-04,2153,0.35,"Eggs, Meat & Fish",Mutton,Bodi,East,2025,1,1,1,5,4,1,1547.668744,1418.0,1466.370584
21,2025-01-04,2293,0.19,Snacks,Noodles,Ooty,South,2025,1,1,1,5,4,1,1499.726811,1498.62,1491.562988
22,2025-01-04,2368,0.14,Oil & Masala,Spices,Salem,South,2025,1,1,1,5,4,1,1574.706789,1496.055,1539.230955
23,2025-01-05,951,0.3,Snacks,Chocolates,Pudukottai,South,2025,1,1,1,6,5,1,1492.593914,1344.99,1423.585917
24,2025-01-05,1149,0.22,Food Grains,Dals & Pulses,Vellore,South,2025,1,1,1,6,5,1,1612.825534,1498.955,1536.416941
25,2025-01-05,1328,0.32,Oil & Masala,Edible Oil & Ghee,Bodi,South,2025,1,1,1,6,5,1,1524.010782,1374.905,1474.808245
26,2025-01-05,1341,0.16,Bakery,Breads & Buns,Viluppuram,South,2025,1,1,1,6,5,1,1534.948807,1501.59,1548.064206
27,2025-01-05,1827,0.29,Fruits & Veggies,Fresh Fruits,Kanyakumari,South,2025,1,1,1,6,5,1,1526.03257,1380.065,1455.344973
28,2025-01-05,2169,0.14,Beverages,Soft Drinks,Tirunelveli,South,2025,1,1,1,6,5,1,1543.815981,1613.41,1520.129061
29,2025-01-06,557,0.16,Beverages,Health Drinks,Bodi,Central,2025,1,1,2,0,6,0,1479.505338,1366.0,1462.418686
30,2025-01-06,644,0.14,Oil & Masala,Edible Oil & Ghee,Virudhunagar,Central,2025,1,1,2,0,6,0,1500.682802,1284.425,1482.940881
31,2025-01-06,695,0.29,Oil & Masala,Masalas,Pudukottai,Central,2025,1,1,2,0,6,0,1574.851786,1581.05,1546.791332
32,2025-01-06,907,0.33,Beverages,Health Drinks,Ooty,Central,2025,1,1,2,0,6,0,1440.258482,1247.77,1409.418645
33,2025-01-06,972,0.33,Beverages,Health Drinks,Cumbum,East,2025,1,1,2,0,6,0,1446.248832,1210.51,1442.367806
34,2025-01-06,1180,0.17,Food Grains,Atta & Flour,Ooty,East,2025,1,1,2,0,6,0,1549.093217,1411.97,1526.876533
35,2025-01-06,1486,0.35,Food Grains,Dals & Pulses,Namakkal,Central,2025,1,1,2,0,6,0,1509.723473,1376.15,1520.791365
36,2025-01-06,1530,0.18,Fruits & Veggies,Organic Vegetables,Pudukottai,East,2025,1,1,2,0,6,0,1570.95858,1390.495,1488.537497
37,2025-01-06,1531,0.31,Fruits & Veggies,Organic Vegetables,Karur,Central,2025,1,1,2,0,6,0,1495.458995,1444.98,1469.279766
38,2025-01-06,1924,0.11,"Eggs, Meat & Fish",Fish,Krishnagiri,East,2025,1,1,2,0,6,0,1513.3704,1325.415,1494.732937
39,2025-01-06,2240,0.3,Food Grains,Rice,Kanyakumari,East,2025,1,1,2,0,6,0,1521.821448,1515.535,1552.844956
40,2025-01-07,1438,0.16,"Eggs, Meat & Fish",Mutton,Ramanadhapuram,Central,2025,1,1,2,1,7,0,1580.20921,1758.365,1601.887493
41,2025-01-07,1953,0.19,Fruits & Veggies,Fresh Fruits,Chennai,Central,2025,1,1,2,1,7,0,1512.807146,1305.88,1487.212562
42,2025-01-07,2225,0.28,"Eggs, Meat & Fish",Fish,Pudukottai,Central,2025,1,1,2,1,7,0,1517.944481,1482.485,1501.27465
43,2025-01-08,732,0.35,Snacks,Cookies,Krishnagiri,West,2025,1,1,2,2,8,0,1437.668439,1451.41,1440.075965
44,2025-01-08,1643,0.26,Oil & Masala,Spices,Ooty,Central,2025,1,1,2,2,8,0,1504.216118,1488.6,1532.107452
45,2025-01-08,1685,0.17,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,Central,2025,1,1,2,2,8,0,1544.124942,1556.68,1554.09861
46,2025-01-08,1905,0.27,Fruits & Veggies,Fresh Vegetables,Tirunelveli,West,2025,1,1,2,2,8,0,1475.846878,1401.765,1475.86682
47,2025-01-08,2253,0.18,Snacks,Noodles,Madurai,Central,2025,1,1,2,2,8,0,1512.522182,1491.265,1511.022541
48,2025-01-08,2415,0.22,Fruits & Veggies,Organic Fruits,Krishnagiri,South,2025,1,1,2,2,8,0,1475.628038,1563.095,1512.749089
49,2025-01-09,611,0.3,Beverages,Health Drinks,Viluppuram,West,2025,1,1,2,3,9,0,1460.057671,1289.815,1433.830195
50,2025-01-09,665,0.26,Bakery,Cakes,Perambalur,Central,2025,1,1,2,3,9,0,1561.219249,1472.205,1524.534683
51,2025-01-09,832,0.13,Oil & Masala,Edible Oil & Ghee,Viluppuram,East,2025,1,1,2,3,9,0,1557.388837,1462.775,1532.811885
52,2025-01-09,1045,0.35,Oil & Masala,Spices,Madurai,West,2025,1,1,2,3,9,0,1511.59476,1479.49,1514.279278
53,2025-01-09,1141,0.26,Food Grains,Atta & Flour,Nagercoil,West,2025,1,1,2,3,9,0,1464.116509,1363.57,1519.648759
54,2025-01-09,1643,0.35,Beverages,Health Drinks,Karur,West,2025,1,1,2,3,9,0,1410.798079,1243.91,1403.316159
55,2025-01-09,2480,0.35,Oil & Masala,Masalas,Ooty,West,2025,1,1,2,3,9,0,1521.025007,1426.025,1504.106116
56,2025-01-10,727,0.23,Food Grains,Rice,Tirunelveli,West,2025,1,1,2,4,10,0,1505.169795,1470.95,1539.513676
57,2025-01-10,913,0.19,Fruits & Veggies,Organic Vegetables,Nagercoil,Central,2025,1,1,2,4,10,0,1460.491732,1035.695,1419.133351
58,2025-01-10,1069,0.35,Food Grains,Organic Staples,Karur,West,2025,1,1,2,4,10,0,1481.166623,1482.13,1508.4221
59,2025-01-10,1080,0.11,"Eggs, Meat & Fish",Eggs,Viluppuram,West,2025,1,1,2,4,10,0,1568.581608,1559.675,1544.945373
60,2025-01-10,1148,0.2,Beverages,Soft Drinks,Virudhunagar,West,2025,1,1,2,4,10,0,1467.869117,1432.475,1496.992745
61,2025-01-10,1231,0.11,Fruits & Veggies,Organic Fruits,Bodi,West,2025,1,1,2,4,10,0,1482.061953,1383.32,1495.544752
62,2025-01-10,1668,0.1,Oil & Masala,Edible Oil & Ghee,Theni,West,2025,1,1,2,4,10,0,1537.044407,1519.425,1506.609046
63,2025-01-10,1879,0.28,"Eggs, Meat & Fish",Eggs,Trichy,West,2025,1,1,2,4,10,0,1562.726251,1658.315,1569.233248
64,2025-01-10,1963,0.28,Food Grains,Atta & Flour,Coimbatore,East,2025,1,1,2,4,10,0,1471.631709,1320.965,1478.927672
65,2025-01-10,2207,0.33,Bakery,Biscuits,Virudhunagar,West,2025,1,1,2,4,10,0,1461.970604,1480.015,1516.412585
66,2025-01-10,2246,0.31,Snacks,Cookies,Salem,Central,2025,1,1,2,4,10,0,1477.577631,1625.26,1492.332487
67,2025-01-10,2325,0.27,"Eggs, Meat & Fish",Chicken,Dharmapuri,West,2025,1,1,2,4,10,0,1596.320904,1570.525,1551.740276
68,2025-01-11,506,0.29,Bakery,Biscuits,Perambalur,West,2025,1,1,2,5,11,1,1557.961448,1426.635,1522.950546
69,2025-01-11,1400,0.23,Oil & Masala,Edible Oil & Ghee,Nagercoil,East,2025,1,1,2,5,11,1,1459.818248,1558.51,1469.811466
70,2025-01-11,2242,0.2,"Eggs, Meat & Fish",Fish,Virudhunagar,East,2025,1,1,2,5,11,1,1455.144316,1438.66,1449.695218
71,2025-01-11,2472,0.13,Oil & Masala,Edible Oil & Ghee,Madurai,West,2025,1,1,2,5,11,1,1558.090783,1482.365,1487.652672
72,2025-01-12,609,0.3,Fruits & Veggies,Organic Vegetables,Kanyakumari,Central,2025,1,1,2,6,12,1,1526.282899,1510.015,1486.918002
73,2025-01-12,660,0.29,Beverages,Soft Drinks,Dharmapuri,East,2025,1,1,2,6,12,1,1553.960586,1466.975,1479.916238
74,2025-01-12,750,0.16,Food Grains,Atta & Flour,Bodi,West,2025,1,1,2,6,12,1,1548.149245,1376.81,1484.166116
75,2025-01-12,767,0.14,Oil & Masala,Spices,Viluppuram,Central,2025,1,1,2,6,12,1,1542.975766,1510.215,1531.122289
76,2025-01-12,774,0.3,Beverages,Soft Drinks,Krishnagiri,East,2025,1,1,2,6,12,1,1488.885329,1385.735,1448.80956
77,2025-01-12,822,0.13,Beverages,Soft Drinks,Viluppuram,West,2025,1,1,2,6,12,1,1543.711096,1542.315,1522.338782
78,2025-01-12,842,0.22,Snacks,Cookies,Dharmapuri,West,2025,1,1,2,6,12,1,1517.435521,1502.685,1486.265354
79,2025-01-12,856,0.11,Fruits & Veggies,Organic Fruits,Coimbatore,Central,2025,1,1,2,6,12,1,1426.023526,1415.15,1418.532268
80,2025-01-12,891,0.29,Snacks,Chocolates,Krishnagiri,West,2025,1,1,2,6,12,1,1440.82223,1272.115,1435.311258
81,2025-01-12,1000,0.18,Food Grains,Dals & Pulses,Tirunelveli,East,2025,1,1,2,6,12,1,1554.885187,1544.615,1538.636331
82,2025-01-12,1072,0.3,"Eggs, Meat & Fish",Fish,Vellore,West,2025,1,1,2,6,12,1,1534.635186,1549.87,1500.261523
83,2025-01-12,1086,0.23,Beverages,Health Drinks,Salem,East,2025,1,1,2,6,12,1,1484.087738,1488.105,1459.588215
84,2025-01-12,1207,0.14,Fruits & Veggies,Fresh Vegetables,Dharmapuri,West,2025,1,1,2,6,12,1,1540.530753,1242.19,1479.228693
85,2025-01-12,1212,0.29,Bakery,Biscuits,Vellore,East,2025,1,1,2,6,12,1,1572.721933,1607.43,1557.862571
86,2025-01-12,1213,0.23,Oil & Masala,Edible Oil & Ghee,Salem,East,2025,1,1,2,6,12,1,1551.570069,1720.535,1554.168701
87,2025-01-12,1250,0.32,Bakery,Breads & Buns,Nagercoil,West,2025,1,1,2,6,12,1,1411.131308,1545.605,1505.201526
88,2025-01-12,1278,0.14,Oil & Masala,Masalas,Tenkasi,East,2025,1,1,2,6,12,1,1538.325287,1397.85,1519.048299
89,2025-01-12,1436,0.33,Bakery,Biscuits,Tirunelveli,East,2025,1,1,2,6,12,1,1514.705025,1430.75,1507.238129
90,2025-01-12,1466,0.25,Oil & Masala,Edible Oil & Ghee,Perambalur,West,2025,1,1,2,6,12,1,1555.726693,1419.87,1484.109868
91,2025-01-12,1469,0.15,"Eggs, Meat & Fish",Chicken,Perambalur,Central,2025,1,1,2,6,12,1,1603.37975,1526.49,1538.589976
92,2025-01-12,1483,0.29,Fruits & Veggies,Fresh Fruits,Ooty,West,2025,1,1,2,6,12,1,1486.94017,1311.535,1444.273072
93,2025-01-12,1491,0.12,"Eggs, Meat & Fish",Mutton,Perambalur,East,2025,1,1,2,6,12,1,1622.777394,1467.36,1522.752506
94,2025-01-12,1579,0.25,Bakery,Biscuits,Ramanadhapuram,West,2025,1,1,2,6,12,1,1519.108943,1442.91,1532.153713
95,2025-01-12,1583,0.1,Bakery,Biscuits,Tirunelveli,West,2025,1,1,2,6,12,1,1551.396201,1684.475,1582.590127
96,2025-01-12,1899,0.25,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,Central,2025,1,1,2,6,12,1,1525.546763,1518.05,1515.513509
97,2025-01-12,1942,0.29,Beverages,Soft Drinks,Vellore,Central,2025,1,1,2,6,12,1,1554.581773,1561.255,1494.99517
98,2025-01-12,1994,0.31,Beverages,Health Drinks,Viluppuram,East,2025,1,1,2,6,12,1,1458.060982,1237.82,1412.855326
99,2025-01-12,2073,0.28,Bakery,Breads & Buns,Kanyakumari,West,2025,1,1,2,6,12,1,1500.40984,1525.8,1543.399875
100,2025-01-12,2106,0.32,Bakery,Breads & Buns,Krishnagiri,Central,2025,1,1,2,6,12,1,1464.5726,1474.345,1520.01393
101,2025-01-12,2114,0.32,Bakery,Breads & Buns,Salem,East,2025,1,1,2,6,12,1,1507.820117,1459.28,1555.902024
102,2025-01-12,2194,0.2,"Eggs, Meat & Fish",Mutton,Pudukottai,Central,2025,1,1,2,6,12,1,1595.803333,1695.915,1531.293209
103,2025-01-12,2263,0.19,"Eggs, Meat & Fish",Chicken,Ramanadhapuram,West,2025,1,1,2,6,12,1,1555.43074,1423.55,1504.823022
104,2025-01-12,2344,0.2,Fruits & Veggies,Organic Fruits,Tenkasi,East,2025,1,1,2,6,12,1,1441.857532,1405.86,1447.857859
105,2025-01-12,2447,0.14,Oil & Masala,Spices,Virudhunagar,East,2025,1,1,2,6,12,1,1482.656598,1353.92,1493.698193
106,2025-01-13,824,0.3,Food Grains,Organic Staples,Perambalur,Central,2025,1,1,3,0,13,0,1570.168339,1557.34,1528.216278
107,2025-01-13,1545,0.24,Fruits & Veggies,Organic Vegetables,Tenkasi,Central,2025,1,1,3,0,13,0,1512.021352,1361.2,1469.297661
108,2025-01-13,2120,0.25,Oil & Masala,Masalas,Kanyakumari,Central,2025,1,1,3,0,13,0,1576.554396,1620.42,1568.112209
109,2025-01-13,2237,0.32,Beverages,Soft Drinks,Viluppuram,Central,2025,1,1,3,0,13,0,1528.609868,1550.095,1503.952741
110,2025-01-14,517,0.19,"Eggs, Meat & Fish",Fish,Coimbatore,South,2025,1,1,3,1,14,0,1478.968823,1211.365,1489.746674
111,2025-01-14,569,0.3,Bakery,Breads & Buns,Namakkal,Central,2025,1,1,3,1,14,0,1470.489732,1546.94,1538.084891
112,2025-01-14,636,0.17,"Eggs, Meat & Fish",Mutton,Trichy,South,2025,1,1,3,1,14,0,1647.668852,1792.065,1633.525197
113,2025-01-14,770,0.22,Snacks,Cookies,Coimbatore,South,2025,1,1,3,1,14,0,1446.505013,1402.765,1451.486847
114,2025-01-14,839,0.29,Food Grains,Atta & Flour,Krishnagiri,South,2025,1,1,3,1,14,0,1545.634472,1564.125,1536.716881
115,2025-01-14,1640,0.24,"Eggs, Meat & Fish",Eggs,Dindigul,South,2025,1,1,3,1,14,0,1477.061209,1639.77,1509.912026
116,2025-01-14,1649,0.12,Snacks,Chocolates,Nagercoil,Central,2025,1,1,3,1,14,0,1427.954221,1236.55,1411.594942
117,2025-01-14,1666,0.29,Snacks,Cookies,Perambalur,Central,2025,1,1,3,1,14,0,1505.404183,1484.22,1477.827794
118,2025-01-14,1707,0.29,Bakery,Biscuits,Pudukottai,South,2025,1,1,3,1,14,0,1577.466754,1536.625,1573.608093
119,2025-01-14,1927,0.2,Beverages,Soft Drinks,Chennai,Central,2025,1,1,3,1,14,0,1522.574367,1477.2,1506.0873
120,2025-01-14,1991,0.31,Oil & Masala,Masalas,Karur,Central,2025,1,1,3,1,14,0,1522.039839,1611.24,1545.602614
121,2025-01-14,2013,0.21,Snacks,Noodles,Salem,Central,2025,1,1,3,1,14,0,1528.155577,1730.625,1546.393702
122,2025-01-14,2161,0.24,Oil & Masala,Edible Oil & Ghee,Bodi,Central,2025,1,1,3,1,14,0,1535.655632,1529.775,1513.307311
123,2025-01-14,2167,0.22,Snacks,Chocolates,Perambalur,Central,2025,1,1,3,1,14,0,1515.491652,1523.075,1504.22302
124,2025-01-14,2204,0.32,Bakery,Cakes,Theni,West,2025,1,1,3,1,14,0,1521.991375,1497.915,1554.471484
125,2025-01-14,2299,0.35,Snacks,Noodles,Pudukottai,West,2025,1,1,3,1,14,0,1503.51048,1544.66,1491.48015
126,2025-01-14,2388,0.14,Oil & Masala,Masalas,Nagercoil,West,2025,1,1,3,1,14,0,1509.704549,1455.92,1513.282486
127,2025-01-14,2473,0.33,Bakery,Breads & Buns,Karur,South,2025,1,1,3,1,14,0,1485.052293,1392.785,1541.052808
128,2025-01-15,608,0.1,Bakery,Biscuits,Salem,West,2025,1,1,3,2,15,0,1587.761141,1766.59,1620.648628
129,2025-01-15,658,0.18,Snacks,Chocolates,Ooty,Central,2025,1,1,3,2,15,0,1472.938463,1349.225,1458.814507
130,2025-01-15,766,0.11,Beverages,Soft Drinks,Namakkal,Central,2025,1,1,3,2,15,0,1517.301137,1573.84,1517.942956
