rad_id_2025,Order Date,Sales_faktisk,Discount,Category,Sub Category,City,Region,year,month,quarter,weekofyear,dayofweek,dayofmonth,is_weekend,prognose_lineaer_regresjon,prognose_random_forest_baseline,prognose_random_forest_tuned,feil_lineaer_regresjon,abs_feil_lineaer_regresjon,ape_lineaer_regresjon_pct,feil_random_forest_baseline,abs_feil_random_forest_baseline,ape_random_forest_baseline_pct,feil_random_forest_tuned,abs_feil_random_forest_tuned,ape_random_forest_tuned_pct
1,2025-01-01,1353,0.14,Oil & Masala,Masalas,Salem,East,2025,1,1,1,2,1,0,1592.338455,1487.39,1542.663849,239.338455,239.338455,17.6895,134.39,134.39,9.9327,189.663849,189.663849,14.018
2,2025-01-01,1370,0.33,Snacks,Cookies,Dharmapuri,Central,2025,1,1,1,2,1,0,1498.219734,1582.615,1452.729826,128.219734,128.219734,9.3591,212.615,212.615,15.5193,82.729826,82.729826,6.0387
3,2025-01-01,1512,0.2,Oil & Masala,Edible Oil & Ghee,Chennai,Central,2025,1,1,1,2,1,0,1518.725355,1508.605,1493.683058,6.725355,6.725355,0.4448,-3.395,3.395,0.2245,-18.316942,18.316942,1.2114
4,2025-01-01,1583,0.28,Beverages,Soft Drinks,Chennai,Central,2025,1,1,1,2,1,0,1495.211462,1344.625,1452.245891,-87.788538,87.788538,5.5457,-238.375,238.375,15.0584,-130.754109,130.754109,8.2599
5,2025-01-01,2045,0.29,Snacks,Cookies,Bodi,Central,2025,1,1,1,2,1,0,1456.4771,1254.21,1416.117827,-588.5229,588.5229,28.7786,-790.79,790.79,38.6694,-628.882173,628.882173,30.7522
6,2025-01-01,2137,0.18,Bakery,Breads & Buns,Namakkal,Central,2025,1,1,1,2,1,0,1476.396831,1342.765,1485.776212,-660.603169,660.603169,30.9126,-794.235,794.235,37.1659,-651.223788,651.223788,30.4737
7,2025-01-01,2193,0.27,Fruits & Veggies,Fresh Vegetables,Madurai,Central,2025,1,1,1,2,1,0,1483.497939,1519.61,1453.30733,-709.502061,709.502061,32.353,-673.39,673.39,30.7063,-739.69267,739.69267,33.7297
8,2025-01-01,2245,0.18,"Eggs, Meat & Fish",Chicken,Cumbum,Central,2025,1,1,1,2,1,0,1556.053453,1338.665,1504.432553,-688.946547,688.946547,30.688,-906.335,906.335,40.3713,-740.567447,740.567447,32.9874
9,2025-01-01,2332,0.31,Food Grains,Atta & Flour,Salem,Central,2025,1,1,1,2,1,0,1548.098682,1495.37,1505.30712,-783.901318,783.901318,33.615,-836.63,836.63,35.8761,-826.69288,826.69288,35.45
10,2025-01-01,2341,0.25,Beverages,Soft Drinks,Namakkal,West,2025,1,1,1,2,1,0,1484.168728,1465.105,1460.089727,-856.831272,856.831272,36.6011,-875.895,875.895,37.4154,-880.910273,880.910273,37.6297
